Mėn. nr.	Pilna suma (€)		Suma(€)		Palūkanos (€)		Liko grąžinti (€)
1	(1 metai)	116.61		61.05		55.56		11050.94
2	116.03		61.05		54.98		10989.89
3	115.45		61.05		54.4		10928.84
4	114.87		61.05		53.82		10867.79
5	114.3		61.05		53.25		10806.74
6	113.73		61.05		52.68		10745.69
7	113.16		61.05		52.11		10684.64
8	112.59		61.05		51.54		10623.59
9	112.03		61.05		50.98		10562.54
10	111.47		61.05		50.42		10501.49
11	110.91		61.05		49.86		10440.44
12	110.36		61.05		49.31		10379.39
13	(2 metai)	109.81		61.05		48.76		10318.34
14	109.26		61.05		48.21		10257.29
15	108.71		61.05		47.66		10196.24
16	108.17		61.05		47.12		10135.19
17	107.63		61.05		46.58		10074.14
18	107.09		61.05		46.04		10013.09
19	106.55		61.05		45.5		9952.04
20	106.02		61.05		44.97		9890.99
21	105.49		61.05		44.44		9829.94
22	104.96		61.05		43.91		9768.89
23	104.44		61.05		43.39		9707.84
24	103.92		61.05		42.87		9646.79
25	(3 metai)	103.4		61.05		42.35		9585.74
26	102.88		61.05		41.83		9524.69
27	102.37		61.05		41.32		9463.64
28	101.85		61.05		40.8		9402.59
29	101.34		61.05		40.29		9341.54
30	100.84		61.05		39.79		9280.49
31	100.33		61.05		39.28		9219.44
32	99.83		61.05		38.78		9158.39
33	99.33		61.05		38.28		9097.34
34	98.84		61.05		37.79		9036.29
35	98.34		61.05		37.29		8975.24
36	97.85		61.05		36.8		8914.19
37	(4 metai)	97.36		61.05		36.31		8853.14
38	96.87		61.05		35.82		8792.09
39	96.39		61.05		35.34		8731.04
40	95.91		61.05		34.86		8669.99
41	95.43		61.05		34.38		8608.94
42	94.95		61.05		33.9		8547.89
43	94.48		61.05		33.43		8486.84
44	94.0		61.05		32.95		8425.79
45	93.53		61.05		32.48		8364.74
46	93.07		61.05		32.02		8303.69
47	92.6		61.05		31.55		8242.64
48	92.14		61.05		31.09		8181.59
49	(5 metai)	91.68		61.05		30.63		8120.54
50	91.22		61.05		30.17		8059.49
51	90.76		61.05		29.71		7998.44
52	90.31		61.05		29.26		7937.39
53	89.86		61.05		28.81		7876.34
54	89.41		61.05		28.36		7815.29
55	88.96		61.05		27.91		7754.24
56	88.52		61.05		27.47		7693.19
57	88.07		61.05		27.02		7632.14
58	87.63		61.05		26.58		7571.09
59	87.2		61.05		26.15		7510.04
60	86.76		61.05		25.71		7448.99
61	(6 metai)	86.33		61.05		25.28		7387.94
62	85.89		61.05		24.84		7326.89
63	85.46		61.05		24.41		7265.84
64	85.04		61.05		23.99		7204.79
65	84.61		61.05		23.56		7143.74
66	84.19		61.05		23.14		7082.69
67	83.77		61.05		22.72		7021.64
68	83.35		61.05		22.3		6960.59
69	82.93		61.05		21.88		6899.54
70	82.52		61.05		21.47		6838.49
71	82.11		61.05		21.06		6777.44
72	81.69		61.05		20.64		6716.39
73	(7 metai)	81.29		61.05		20.24		6655.34
74	80.88		61.05		19.83		6594.29
75	80.48		61.05		19.43		6533.24
76	80.07		61.05		19.02		6472.19
77	79.67		61.05		18.62		6411.14
78	79.27		61.05		18.22		6350.09
79	78.88		61.05		17.83		6289.04
80	78.48		61.05		17.43		6227.99
81	78.09		61.05		17.04		6166.94
